threshold_multiplier,deployment_rate,gate_unsafe_deploy,gate_unsafe_among_deployed,composite_unsafe_deploy,composite_unsafe_among_deployed
0.6,0.597,0.002,0.0033500837520938024,0.004,0.006700167504187605
0.65,0.569,0.001,0.0017574692442882249,0.003,0.005272407732864675
0.7,0.544,0.0,0.0,0.002,0.003676470588235294
0.75,0.517,0.0,0.0,0.001,0.0019342359767891683
0.7999999999999999,0.478,0.0,0.0,0.0,0.0
0.85,0.441,0.0,0.0,0.0,0.0
0.8999999999999999,0.393,0.0,0.0,0.0,0.0
0.95,0.335,0.0,0.0,0.0,0.0
1.0,0.285,0.0,0.0,0.0,0.0
1.0499999999999998,0.235,0.0,0.0,0.0,0.0
1.0999999999999999,0.192,0.0,0.0,0.0,0.0
1.15,0.15,0.0,0.0,0.0,0.0
1.2,0.118,0.0,0.0,0.0,0.0
1.25,0.087,0.0,0.0,0.0,0.0
1.2999999999999998,0.065,0.0,0.0,0.0,0.0
1.3499999999999999,0.04,0.0,0.0,0.0,0.0
1.4,0.024,0.0,0.0,0.0,0.0
