tool_id,risk_tier,unsafe_true,G1_Safety_latent,G1_Safety_missing,G1_Safety_obs,G2_Equity_latent,G2_Equity_missing,G2_Equity_obs,G3_Documentation_latent,G3_Documentation_missing,G3_Documentation_obs,G4_Accountability_latent,G4_Accountability_missing,G4_Accountability_obs,G5_Monitoring_latent,G5_Monitoring_missing,G5_Monitoring_obs
T0000,standard,0,0.6627652314998506,0,0.7439920051922325,0.8346484767174047,0,0.9026400269246403,0.8495819419472898,0,0.8571837561547127,0.7403630201133019,0,0.769486185428469,0.8359723683085191,0,0.8452333292537684
T0001,standard,1,0.6543660179019143,0,0.5691628189949542,0.42523030727780403,0,0.39135495583959634,0.4991848635670203,0,0.35914970912454774,0.20391906519267328,0,0.2954909434591054,0.6741553505003357,0,0.6128075570666952
T0002,standard,0,0.6218684581761222,0,0.6180893437973675,0.7711681580747697,0,0.7846596648012224,0.33817620565167583,0,0.31437945151819147,0.8155763829414665,0,0.8258674822264975,0.8446791138821667,0,0.8522465682605048
T0003,standard,0,0.3769857175542067,0,0.4203985410718714,0.6386807946879962,0,0.5503516413340876,0.8623906115481528,0,0.8900304239904614,0.50861041381388,0,0.46119268346285486,0.9136441891006735,0,0.9163233470702866
T0004,standard,0,0.6117213419721705,0,0.5079547601767446,0.7680601239107796,0,0.7063258708161642,0.7750151878859055,0,0.7658713119225712,0.8333934545544389,1,,0.7264390315964503,0,0.6433070795118115
T0005,high,1,0.6668164440319225,0,0.6151162087166252,0.5943973273153773,0,0.6008475122261123,0.4193109227031309,0,0.4816612531051979,0.3093748910448295,0,0.3563779025187194,0.47268519777656415,0,0.4630775481170553
T0006,standard,0,0.7747725491476457,0,0.8344383392805967,0.6810633932372053,0,0.5914038846213728,0.6904113238541941,1,,0.9341064421256043,0,0.9027953103663002,0.9186288485979083,0,0.8617638108718486
T0007,high,0,0.7861633752393097,0,0.873948060905553,0.9812227388891303,0,0.9282107911421407,0.8561646692786595,0,0.7850553054814937,0.8262231781473026,0,0.8465353191607737,0.5927389198994829,0,0.6317920463835014
T0008,high,1,0.6458733359053761,0,0.7133945250071078,0.5126954228879598,0,0.4747636718102535,0.6118616704216545,0,0.6744473499117241,0.5157541010051894,0,0.513882738519115,0.809358295281865,0,0.8975566803259032
T0009,standard,0,0.6847566142855174,0,0.8672220392606262,0.6045931650696748,0,0.5691655271578928,0.658030533145211,0,0.686379728881577,0.9866632762018748,0,1.0,0.5349155623324248,0,0.5858884846188638
